,artist_name,song_name,lyric_staff,lyric
0,乃木坂46,キスのシルエット,乃木坂46,Fu-u u-Fu-u YaiYaiYaiYaiYaiYai…　　初めて会った　偶然なのに　運命を感じる　第一印象　タクシー止める理由ないだろう？　もう少し　近づいて君を知りたい　　もっと(もっと)　こっちにおいで(僕の方)　揺れる(揺れる)　アスファルトの上(ステップ)　回れ(回れ)腰を抱き寄せ　傘はそこに捨ててしまえ　　君と　雨の中で踊った　二人　ずぶ濡れのままで　髪の雫(しずく)は(NonNonNon)　言葉のように(NonNonNon)　僕の気持ちを伝えようとする　いつだって　恋は照れ臭い　見つめちゃ言えない　時間(とき)を忘れて　まるでダンサー　激しいキスのシルエット　　こんな通りのど真ん中で　他人(ひと)の目なんかは気にしなくていい　どうせ濡れたくないんだろう　見て見ぬふりして　距離を置いてる　　心(心)曝(さら)け出そうよ(隠すなよ)　君も(僕も)裸になって(素直に)　獣(みたく)本能のまま　大きな声で叫ぶんだ　　雨はずっと止む気配もなく　強く降り続けている　ピアノの鍵盤(Yeah YeahYeah)　叩く指先(Yeah YeahYeah)　どんなメロディ奏(かな)でているのか？　冷静になっちゃ恋なんて　醒めてしまうもの　君を折れるほど　抱きしめながら　美しいキスの蜃気楼　　雨の中で踊った　二人ずぶ濡れのままで　髪の雫(しずく)は(NonNonNon)　言葉のように(NonNonNon)　僕の気持ちを伝えようとする　いつだって　恋は照れ臭い　見つめちゃ言えない　時間(とき)を忘れて　まるでダンサー　激しいキスのシルエット　　Fu-u u-Fu-u YaiYaiYaiYaiYaiYai…
1,乃木坂46,交感神経優位,乃木坂46,線路脇の細い道　僕は一人歩きながら　なぜだか　ふいに　君のこと思い出したんだ　あの踏切　カンカンって遮断機がゆっくり降りて　答えを急かせる　教室で会うだけでいいのかと...　　緑色の電車が通り過ぎて　ようやく自分のこの気持ち　はっきりして来た　後回しにしてたけど　感情は正直に　愛しさを伝えようとする　　交感神経優位なんだ　僕はやる気に満ち溢れてる　全身が脈打つように情熱的　心のアクセル踏み込んで　心拍数は上がる一方　僕は今　君を愛している　　風のように過ぎて行く　見慣れた快速電車　一瞬で　すべて　現実は消えてしまうのか？　線路の上　ゴーゴーって車輪が廻る金属音　何かが軋んで日常が壊れそうで不安だ　　帰り道は　なぜか落ち込んでしまう　今日こそ　勇気を振り絞り言いたかったのに　声掛けるタイミング悪かったと　何回も言い訳をしては見送ってる　　副交感神経優位で　ちゃんとぐっすり眠れるように　告白した方がリラックスできるはず　心もブレーキ踏まなくちゃ　深く息をして一休み　恋はそう自分だけの呼吸だ　　人は誰も　メンタルをコントロールできない　それがきっと　人間らしさというものだろう　だからちゃんと　身体の声　聴きながら　Ah　どんどん募ってく　君への想い　いつかは伝えたいけど　今は　　交感神経優位なんだ　僕はやる気に満ち溢れてる　全身が脈打つように情熱的　心のアクセル踏み込んで　心拍数は上がる一方　僕は今　君を愛している　　僕も君も考えよう　バランスを.....　優位なのは　どっちの　どっちの交感神経か？
2,乃木坂46,タイムリミット片想い,乃木坂46,教室では目立たない　廊下側の後ろの席　どこにでもいるようなクラスメイト　あなたと何か特別な　秘密のような出来事ないから　記憶から消えてく　　何とかして(何とかして)　好きだってことを(伝えなくちゃ)　きっと間に合わなくなっちゃう　できればさりげなくって思ったけど　もう待ったなし！　　タイムリミット片想い　卒業式が終わっちゃったら　きっと　もう会えない　別の道を選んだ未来　タイムリミット　少し前　この制服　見納めになる　散り際の桜　ため息を(吐(つ)いたら)　思い出だけが空に舞うでしょう　　部活が終わったあなたと　昇降口で会ったのにね　さりげない一言が言えなかった　真っ赤に沈む太陽　校庭を横断して帰る　大きな背中が切ない　　少しくらい(少しくらい)　印象に残る(私でなきゃ)　すぐに追いかけて行こうかな　だけどそんな大胆な行動は　向いていないし…　　トライアルはもうできない　そうよ　ここから先は全部　恋は本番だけ　だから余計　二の足踏む　トライアルは未挑戦　次に会うのは卒業写真　そういうことにはならないで(欲しい)　卒業までの限られた時間　　頭の中　考えるだけじゃ　恋は絶対　始まらないでしょう　さあ当たって　砕けてみよう(頑張って)　話しかけなきゃ(話しかけなきゃ)　気持ちは何も伝わらない　私は私のやり方でI love you！　　トライアルはもうできない　そうよ　ここから先は全部　恋は本番だけ　だから余計　二の足踏む　急げ…　　タイムリミット片想い　卒業式が終わっちゃったら　きっと　もう会えない　別の道を選んだ未来　タイムリミット　少し前　この制服　見納めになる　散り際の桜　ため息を(吐(つ)いたら)　思い出だけが空に舞うでしょう
3,乃木坂46,天空の豆の木,乃木坂46,絶対に秘密だよ　「誰にも言うなよ」　目を閉じて　ここに来て　「さあ　目を開けて　庭を見てごらん」　ちょっと前は　何もない　「雑草だらけだっただろう？」　土の中から出て来たんだ　「えっ？」　　どんな希望も　諦めなければ　「叶う」　ある日　気づいたら　すくすくと…　「ジャック！」　　天空の豆の木が　白い雲の上まで　雨が降って　陽が差して　種子から芽が出て　いつの間にか伸びてた　僕たちの小さな夢だって　願い続ければ　どんどん大きくなる　　ララ　ララン　ラララララン　ララ　ララン　ラララララン　ララ　ララン　Uh　ねえジャック　　せっかくのチャンスだもん　「登ってみようよ」　僕たちのチャレンジ　「まずは一歩目を踏み出そう」　てっぺんに何がある？　「わからないけど」　よじ登ってけば辿り着く　「うん」　　ありえないような奇跡を見てる　「本当？」　風に吹かれ　舞い降りた種子　「ジャック」　　誰だって　夢くらい　絶対　持っているだろう　知らず知らず　育(はぐく)んでた一本の木のように　生きるとは自立すること　晴れても雨でも曇りでも憧れの枝は　成長し続ける　　人はみんな　周りには頼らず　自分の力で大人になるんだ　さあ　　願いごとの未来は　いつしか芽が出るもの　「大切なことは夢を待(ま)つこと　なかなか花が咲かなくても焦らないで」　　天空の豆の木が　白い雲の上まで　雨が降って　陽が差して　種子から芽が出て　いつの間にか伸びてた　僕たちの小さな夢だって　願い続ければ　どんどん大きくなる　　ララ　ララン　ラララララン　ララ　ララン　ラララララン　ララ　ララン　Uhねえジャック　「このままこの木が伸び続けたら」　「そうさ　世界中　どこだって見える」　「本当に欲しいものが見つかるってこと」
4,乃木坂46,ネーブルオレンジ,乃木坂46,ネーブルオレンジ　一つだけ手にして　君の街まで電車に乗った　春は何かを思い出させる　切なくて　甘酸っぱい香りが誘うんだ　　窓の外に雲ひとつない空　僕の気持ちは早送りされる　　君に会えたら　何が言えるのだろうか？　スーパーマーケットに並んだ　あの季節　　ネーブルオレンジ　両手で包んで　恋の甘さを　今さら思う　君が一番好きだと言った　柑橘の青春はどこへ消えたのか？　　ネーブルオレンジ　頬に近づけて　この瑞々しさに接吻(くちづけ)したくなる　　ボールみたいに上へと投げながら　今の現実はちゃんと受け止める　　そして　初めて降りた駅の改札は　僕にどんな物語　見せるのか？　　ネーブルオレンジ　なぜに握りしめて　僕は知らない街へ来たのか？　この香りに惹かれ　どこかで君が　気づいてくれたなら　あの頃を語り合おう　　少し厚めの　この皮のその中に　僕が大切にしてた君がいる Ah　　ネーブルオレンジ　両手で包んで　恋の甘さを　今さら思う　君が一番好きだと言った　柑橘の青春はどこへ消えたのか？　　なんてセンチメンタルな記憶　まさか　会えるわけなどないのに…　Ah それでもいい　　君が住んでいると聞かされた　街を一目見たかっただけだ　片想いネーブルオレンジ
5,乃木坂46,I see...,乃木坂46,浮かれた気分のステップ　鼻歌まじりでご機嫌　街は日差しのスクリーン　君と久しぶりのランデブー　　ずっと会いたかったけど　素直になれなかったんだ　先に連絡しちゃったら　僕の負けみたいじゃないか　　I see　どうでもいい　WOW WOW WOW　突然　思ったんだ　Yeah Yeah Yeah　I see　そんなこと　WOW WOW WOW　まるで関係ないね　(意地なんか張ってちゃ)もったいない　(自分の気持ちに)素直になろう　大事なのは　一つだけ　WOW WOW WOW　君のことが好きだ　　水たまりなんかジャンプ　何だってできそうな気がする　空に愛情の雲行き　もう少しで手が届きそう　　早く気がつけばよかった　自分を見失ってたんだ　駆け引きなんかいらない　カッコつけてどうする？　　No side　馬鹿馬鹿しい　WOW WOW WOW　ようやく　わかったんだ　Yeah Yeah Yeah　No side　考えすぎ　WOW WOW WOW　僕は僕じゃないか　(我慢なんかしてたって)意味はないよ　(心隠せば)苦しくなる　さらけ出せばいい　WOW WOW WOW　君しか見えないよ　　I see　どうでもいい　WOW WOW WOW　突然　思ったんだ　Yeah Yeah Yeah　I see　そんなこと　WOW WOW WOW　まるで関係ないね　(意地なんか張ってちゃ)もったいない　(自分の気持ちに)素直になろう　大事なのは　一つだけ　WOW WOW WOW　君のことが好きだ　　やっと素直になれる
6,乃木坂46,会いたかったかもしれない,乃木坂46,会いたかった　会いたかった　会いたかった　Yes!　会いたかった　会いたかった　会いたかった　Yes!　君に…　　自転車全力でペダル　漕ぎながら坂を登る　風に膨らんでるシャツも　今はもどかしい　　やっと気づいた　本当の気持ち　正直にゆくんだ　たったひとつこの道を　走れ!　　好きならば　好きだと言おう　誤魔化さず　素直になろう　好きならば　好きだと言おう　胸の内　さらけ出そうよ　　会いたかった　会いたかった　会いたかった　Yes!　会いたかった　会いたかった　会いたかった　Yes!　君に…　　どんどん溢れ出す汗も　拭わずに素顔のまま　木洩れ日のトンネル夏へ　続く近道さ　　そんな上手に　話せなくても　ストレートでいい　自分らしい生き方で　走れ!　　誰よりも　大切だから　振られても　後悔しない　誰よりも　大切だから　この気持ち　伝えたかった　　好きならば　好きだと言おう　誤魔化さず　素直になろう　好きならば　好きだと言おう　胸の内　さらけ出そうよ　　ラララララ　ラララララララ　ラララララ　ラララララララ　ラララララ　ラララララララ　ラララララ　ラララララララ　　会いたかった　会いたかった　会いたかった　Yes!　会いたかった　会いたかった　会いたかった　Yes!　君に…　　会いたかった!!
7,乃木坂46,曖昧,乃木坂46,「森　日差し　ざわざわしてる緑　風　耳を塞ぐ　大切なもの　何だ？」　　誰の(ために)生きて(いるの？)ある日(ふいに)なぜか(思った)　答え(なんか)きっと(ないと)僕は(ずっと)知ってる　　運命は重いだろう(この命)　大地を踏みしめるように　この場所　立ちながら　心は　空を見上げる　一人　　「僕はどうすればいい？」　　自分の重力　感じてみよう　それでも存在してる　確かに土に残った僕の足跡　ほんの一瞬(ここにいたこと)その証なんだ　やがては(消えてく)すべての(記憶は)　曖昧　　白い(雲は)どこへ(行くの？)風に(吹かれ)遠く流され　どんな(想い)秘めたか(きっと)君は(行方)知らない　　現実は厳しいだろう(森羅万象)　光と影が生まれるよ　美しい世界だけ勝手に信じてても　見えない真実がそこにはあるってことに気づく　　「キレイゴトばかりじゃないんだ」　　自分の居場所を見つけたかった　必要とされたかったんだ　シューズを脱ぎ捨て　裸足になってみた　足の裏側(土が)生きもののように(動く)　感じる(力は)自然の(息吹きか)　　WOW WOW WOW...　太陽は　WOW WOW WOW...　また巡る　　「僕はここにいる」　　自分の重力　感じてみよう　それでも存在してる　確かに土に残った僕の足跡　ほんの一瞬(ここにいたこと)その証なんだ　やがては(消えてく)すべての(記憶は)　何だって曖昧
8,乃木坂46,Out of the blue,乃木坂46,正直になんかなれるわけない　本当の自分は最低で…　誰にも言えないような醜い胸の奥　(嫌われたくないじゃない？)　　笑顔の下に本音を隠して　楽しそうにみんなに合わせて来た　そんな自己嫌悪のマリオネット　　人生なんて退屈で長すぎる　思い込んでたけど　あなたに会って　ピンと来ちゃって　世界が変わっちゃった　　恋って　Out of the blue　予期できないこと　まさか　まさかの急展開　あっという間に　もう　今まで見たことない私だった　捻じ曲がってた(性格)　こんな素直になって(ごめん)　人は誰もみんな　生まれ変われるんだ　そう　ある日突然　　誰かの影響　受けちゃうなんて　絶対ないって思っていたのに　こんなにあっさりとやられた　　愛の意味わからなくて　興味もなくて　1人が好きだった　思いついたら　どこへも行ける　大空は最高でしょう？　　自由って　Out of the blue　カゴを開けること　飛べよ　飛べよと叫んでいた　翼を広げたBird　恐る恐る　羽ばたいてみようよ　勇気を出すんだ(今すぐ)　可愛くなれる(自分)　それにやっと気づいたこのタイミングで　ありがとうって言いたい　　あなたに会って　ピンと来ちゃって　世界が変わっちゃった　初めての経験　　全て　一瞬の出来事　右に行くか　左に行くかなんて　思いがけないチョイス　神様がダイスを振っているんだろう　　恋って　Out of the blue　予期できないこと　まさか　まさかの急展開　あっという間に　もう　今まで見たことない私だった　捻じ曲がってた(性格)　こんな素直になって(ごめん)　人は誰もみんな　生まれ変われるんだ　そう　ある日突然 wow　Hoo hoo hoo　Out of the blue
9,乃木坂46,Actually...,乃木坂46,"「You know I need to find something,real bad...」　　微笑むその度に　無理していたって思い出す　青空　描(えが)くには(Not yet)　風が何色か　知るべきでしょう　　足りないもの　　Actually...　Wow wow　わかってない(何にも)　この世界の美しさ　そう(その醜(みにく)さも)　Actually...　Wow wow　気づいてない(自分自身)　理想が邪魔して　真実を見失う　　くしゃみが出てしまう　眩(まぶ)しい太陽　見上げると(Why？)　一番　隠したい(secret)　何か　目を逸らす　自然の摂理　　知るべきことだ　　Actually...　Wow wow　曖昧な…(何かが)　生きることのその意味を　そう(難しくする)　Actually...　Wow wow　YesとNoを(どっちでも)　どうせ未来は　1mmも変わらない　　嘘じゃない　「I'm telling you the truth, no lies」　見えてる現実は一部でしょう　表面的(協調性)　嫌ってるのは　誰でもなく自分(Wow)　　Actually...　Wow wow　わかってない(何にも)　この世界の美しさ　そう(その醜(みにく)さも)　Actually...　Wow wow　気づいてない(自分自身)　理想が邪魔して　真実を見失う　Wow wow　そう　実際は(思い違い)　そんな心配は　臆病な言い訳だ"
